timestamp,lat,lon,altitude_agl,vertical_velocity,y_acc,gyr_y,pyro_state,sats,flight_state,battery_voltage
212486,329972208,-1069751103,1476.3812255859375,-31.480846405029297,-0.22855700552463531,-0.0,8,0,5,9.2096
212546,329972144,-1069750500,1475.6063232421875,-28.519033432006836,-0.22855600714683533,-0.0,8,0,5,9.1956
212586,329972192,-1069750740,1474.8314208984375,-33.37513732910156,-0.22855600714683533,-0.0,8,0,5,9.2096
212626,329972338,-1069751271,1474.2115478515625,-41.00297546386719,-0.22855499386787415,-0.0,8,0,5,9.1956
212686,329972221,-1069750889,1473.4366455078125,-20.65614891052246,-0.22855399549007416,-0.0,8,0,5,9.1956
212726,329971929,-1069751095,1472.894287109375,-19.41804313659668,-0.22855399549007416,-0.0,8,0,5,9.1744
212786,329972295,-1069750551,1471.7320556640625,-46.51823425292969,-0.22855299711227417,-0.0,8,0,5,9.2168
212826,329972537,-1069750981,1471.26708984375,-29.136119842529297,-0.22855299711227417,-0.0,8,0,5,9.1956
212866,329972005,-1069750879,1470.492431640625,-33.388099670410156,-0.22855199873447418,-0.0,8,0,5,9.2096
212926,329972358,-1069750651,1469.7176513671875,-28.532339096069336,-0.22855199873447418,-0.0,8,0,5,9.1956
212966,329972303,-1069750575,1468.9429931640625,-33.363948822021484,-0.2285510003566742,-0.0,8,0,5,9.1956
213006,329972303,-1069750575,1468.4781494140625,-18.686120986938477,-0.2285510003566742,-0.0,8,0,5,9.1888
213066,329972648,-1069750703,1467.3936767578125,-50.22136306762695,-0.2285500019788742,-0.0,8,0,5,9.1956
213106,329972351,-1069750954,1466.77392578125,-31.752994537353516,-0.22854900360107422,-0.0,8,0,5,9.1956
213166,329972056,-1069751279,1465.844482421875,-40.90167999267578,-0.22854800522327423,-0.0,8,0,5,9.1956
213206,329972043,-1069751175,1465.379638671875,-18.995441436767578,-0.22854800522327423,-0.0,8,0,5,9.1956
213266,329972406,-1069750846,1464.29541015625,-33.35430908203125,-0.22854700684547424,-0.0,8,0,5,9.2096
213306,329972339,-1069750840,1463.67578125,-31.07636070251465,-0.22854700684547424,-0.0,8,0,5,9.1956
213346,329972339,-1069750840,1463.2110595703125,-28.50672721862793,-0.22854599356651306,-0.0,8,0,5,9.1536
213406,329972309,-1069750656,1462.28173828125,-21.045631408691406,-0.22854599356651306,-0.0,8,0,5,9.1956
213446,329972121,-1069750693,1461.50732421875,-42.96682357788086,-0.22854499518871307,-0.0,8,0,5,9.2096
